
".MODEL_1.Last_Run.PART_5_XFORM.TIME"	".MODEL_1.Last_Run.PART_5_XFORM.X"	".MODEL_1.Last_Run.PART_5_XFORM.Y"	".MODEL_1.Last_Run.PART_5_XFORM.Z"	".MODEL_1.Last_Run.PART_5_XFORM.PSI"	".MODEL_1.Last_Run.PART_5_XFORM.THETA"	".MODEL_1.Last_Run.PART_5_XFORM.PHI"	".MODEL_1.Last_Run.PART_5_XFORM.VX"	".MODEL_1.Last_Run.PART_5_XFORM.VY"	".MODEL_1.Last_Run.PART_5_XFORM.VZ"	".MODEL_1.Last_Run.PART_5_XFORM.WX"	".MODEL_1.Last_Run.PART_5_XFORM.WY"	".MODEL_1.Last_Run.PART_5_XFORM.WZ"	".MODEL_1.Last_Run.PART_5_XFORM.ACCX"	".MODEL_1.Last_Run.PART_5_XFORM.ACCY"	".MODEL_1.Last_Run.PART_5_XFORM.ACCZ"	".MODEL_1.Last_Run.PART_5_XFORM.WDX"	".MODEL_1.Last_Run.PART_5_XFORM.WDY"	".MODEL_1.Last_Run.PART_5_XFORM.WDZ"
2.050000e+00	1.018470e-01	-4.549534e-02	-8.020997e-02	-6.838480e+01	2.381264e+01	8.337337e+01	4.873032e-02	2.298598e-03	-4.610692e-02	-1.604150e+00	-1.532494e+01	-1.481935e+00	-2.849943e-02	3.200315e-02	1.407921e-02	-4.971859e+00	1.597260e+00	-1.323987e+01
2.100000e+00	1.042051e-01	-4.530038e-02	-8.248593e-02	-6.929702e+01	2.448848e+01	8.425695e+01	4.716960e-02	3.924870e-03	-4.530901e-02	-1.846205e+00	-1.521125e+01	-2.153784e+00	-3.139213e-02	3.221897e-02	1.587718e-02	-4.807540e+00	2.281010e+00	-1.349318e+01
2.150000e+00	1.064783e-01	-4.502289e-02	-8.471726e-02	-7.021301e+01	2.515905e+01	8.511184e+01	4.546313e-02	5.559799e-03	-4.442144e-02	-2.078887e+00	-1.506238e+01	-2.836921e+00	-3.430951e-02	3.239466e-02	1.765197e-02	-4.620900e+00	2.986343e+00	-1.371241e+01
2.200000e+00	1.086593e-01	-4.466257e-02	-8.689952e-02	-7.113316e+01	2.582297e+01	8.593768e+01	4.361032e-02	7.201245e-03	-4.344570e-02	-2.301072e+00	-1.487735e+01	-3.529497e+00	-3.723643e-02	3.253108e-02	1.939762e-02	-4.411531e+00	3.710876e+00	-1.389440e+01
2.250000e+00	1.107409e-01	-4.421921e-02	-8.902833e-02	-7.205783e+01	2.647874e+01	8.673418e+01	4.161145e-02	8.847100e-03	-4.238357e-02	-2.511632e+00	-1.465532e+01	-4.229505e+00	-4.015640e-02	3.262918e-02	2.110845e-02	-4.179187e+00	4.451862e+00	-1.403608e+01
2.300000e+00	1.127157e-01	-4.369273e-02	-9.109943e-02	-7.298730e+01	2.712483e+01	8.750108e+01	3.946766e-02	1.049530e-02	-4.123709e-02	-2.709434e+00	-1.439561e+01	-4.934787e+00	-4.305171e-02	3.268986e-02	2.277912e-02	-3.923805e+00	5.206192e+00	-1.413451e+01
2.350000e+00	1.145765e-01	-4.308316e-02	-9.310869e-02	-7.392183e+01	2.775966e+01	8.823815e+01	3.718101e-02	1.214381e-02	-4.000860e-02	-2.893360e+00	-1.409770e+01	-5.643044e+00	-4.590360e-02	3.271398e-02	2.440468e-02	-3.645509e+00	5.970412e+00	-1.418696e+01
2.400000e+00	1.163165e-01	-4.239062e-02	-9.505211e-02	-7.486162e+01	2.838156e+01	8.894524e+01	3.475457e-02	1.379062e-02	-3.870064e-02	-3.062312e+00	-1.376126e+01	-6.351845e+00	-4.869240e-02	3.270221e-02	2.598065e-02	-3.344631e+00	6.740739e+00	-1.419093e+01
2.450000e+00	1.179287e-01	-4.161537e-02	-9.692580e-02	-7.580680e+01	2.898886e+01	8.962225e+01	3.219242e-02	1.543377e-02	-3.731598e-02	-3.215222e+00	-1.338618e+01	-7.058648e+00	-5.139775e-02	3.265499e-02	2.750306e-02	-3.021715e+00	7.513090e+00	-1.414422e+01
2.500000e+00	1.194067e-01	-4.075775e-02	-9.872607e-02	-7.675746e+01	2.957983e+01	9.026916e+01	2.949966e-02	1.707127e-02	-3.585757e-02	-3.351065e+00	-1.297255e+01	-7.760808e+00	-5.399884e-02	3.257244e-02	2.896850e-02	-2.677524e+00	8.283111e+00	-1.404497e+01
