X,Y,Z
2060.040953,-669.0982312,1392.780357
2057.817505,-668.8468372,1392.801639
2055.595038,-668.5860439,1392.822532
2053.373689,-668.3158669,1392.843037
2051.153575,-668.0363211,1392.863157
2048.934581,-667.7473925,1392.882896
2046.716867,-667.4491025,1392.902256
2044.500448,-667.1414545,1392.921241
2042.285301,-666.8244464,1392.939855
2040.071508,-666.4980909,1392.958099
2037.859134,-666.1623985,1392.975977
2035.648183,-665.817371,1392.993492
2033.438753,-665.4630243,1393.010647
2031.230719,-665.0993374,1393.027446
2029.024337,-664.7263513,1393.04389
2026.819509,-664.3440473,1393.059985
2024.616296,-663.9524313,1393.075734
2022.414817,-663.5515188,1393.091157
2020.21496,-663.1412867,1393.106269
2018.016734,-662.7217365,1393.121076
2015.820711,-662.2929823,1393.135567
2013.626214,-661.8548974,1393.149737
2011.433628,-661.4075617,1393.163567
2009.243044,-660.9509987,1393.177041
2007.054271,-660.4851708,1393.190142
2004.867515,-660.010123,1393.202858
2002.682856,-659.5258729,1393.215182
2000.50011,-659.0323766,1393.227117
1998.31961,-658.5297066,1393.238673
1996.141168,-658.0178156,1393.249878
1993.964956,-657.4967393,1393.260773
1991.790981,-656.9664763,1393.27142
1989.619162,-656.4270052,1393.281901
1987.449239,-655.8782592,1393.292321
1985.282925,-655.32068,1393.302752
1983.117843,-654.7536564,1393.313221
1980.955517,-654.1775838,1393.323724
1978.795764,-653.5924183,1393.334257
1976.638229,-652.9980654,1393.344809
1974.483377,-652.3946543,1393.355358
1972.331078,-651.7821524,1393.365885
1970.181379,-651.1605736,1393.376363
1968.034318,-650.5299299,1393.38677
1965.890096,-649.8902807,1393.397079
1963.74831,-649.241504,1393.407273
1961.609363,-648.5837174,1393.417334
1959.473296,-647.9169323,1393.42725
1957.340008,-647.241113,1393.43702
1955.20962,-646.556295,1393.44665
1953.082123,-645.8624795,1393.456148
1950.957614,-645.1597045,1393.465518
1948.836032,-644.4479511,1393.474763
1946.717633,-643.7273061,1393.48388
1944.602028,-642.9976344,1393.492869
1942.489627,-642.2590738,1393.501724
1940.3802,-641.5115399,1393.510439
1938.274382,-640.7552561,1393.519002
1936.171522,-639.9899873,1393.527406
1934.071936,-639.2158446,1393.53564
1931.975638,-638.4328314,1393.543689
1929.882496,-637.6408975,1393.551542
1927.793062,-636.8402535,1393.559182
1925.706897,-636.0307353,1393.566596
1923.624081,-635.2123754,1393.573769
1921.544782,-634.385244,1393.580686
1919.46902,-633.5493539,1393.587331
1917.396741,-632.704689,1393.59369
1915.328114,-631.8513234,1393.599748
1913.263056,-630.9892283,1393.605492
1911.201623,-630.1184302,1393.610909
1909.143812,-629.2389299,1393.615987
1907.089816,-628.350809,1393.620715
1905.039658,-627.454076,1393.625085
1902.99329,-626.5487029,1393.629088
1900.950658,-625.6346524,1393.632719
1898.911981,-624.712004,1393.635974
1896.877109,-623.7806634,1393.638851
1894.846396,-622.8407593,1393.641349
1892.819502,-621.8920459,1393.643472
1890.797005,-620.9347108,1393.645236
1888.778154,-619.9689188,1393.646659
1886.763483,-618.9952699,1393.647737
1884.752688,-618.0133148,1393.648445
1882.746279,-617.0224429,1393.648747
1880.74459,-616.0220567,1393.648636
1878.747035,-615.0130606,1393.648227
1876.752237,-613.9991167,1393.647825
1874.758283,-612.983335,1393.647604
1872.764169,-611.9669854,1393.647575
1870.770743,-610.9510698,1393.647721
1868.776865,-609.9351442,1393.648035
1866.782942,-608.9193761,1393.648528
1864.788965,-607.9036065,1393.649239
1862.795041,-606.8877023,1393.65022
1860.801577,-605.8719454,1393.651452
1858.807322,-604.8557694,1393.652915
1856.81347,-603.8397877,1393.654609
1854.819622,-602.8238,1393.656536
1852.825776,-601.807809,1393.658699
1850.832363,-600.7920374,1393.661104
1848.838373,-599.7759743,1393.663758
1846.844396,-598.7599213,1393.66667
1844.850451,-597.7438905,1393.669848
1842.856546,-596.7278885,1393.673302
1840.862682,-595.7119159,1393.677042
1838.868846,-594.6959679,1393.681079
1836.875021,-593.6800366,1393.68542
1834.881189,-592.6641126,1393.690076
1832.887333,-591.6481871,1393.695053
1830.893442,-590.6322544,1393.700356
1828.899512,-589.616312,1393.705991
1826.905548,-588.6003613,1393.711958
1824.911562,-587.5844069,1393.718257
1822.91757,-586.5684559,1393.724884
1820.923588,-585.5525156,1393.731833
1818.929635,-584.5365932,1393.739096
1816.935721,-583.5206934,1393.746664
1814.941854,-582.5048181,1393.754524
1812.948032,-581.4889653,1393.762661
1810.954244,-580.4731287,1393.771061
1808.960283,-579.4572008,1393.779708
1806.966747,-578.4414863,1393.788582
1804.97287,-577.4255941,1393.797669
1802.978996,-576.4096989,1393.806949
1800.985123,-575.3938006,1393.816404
1798.991254,-574.3778995,1393.826016
1796.997386,-573.3619958,1393.835766
1795.00352,-572.3460901,1393.845638
1793.009655,-571.330183,1393.855612
1791.01579,-570.3142757,1393.865671
1789.021925,-569.2983691,1393.875791
1787.028051,-568.2824554,1393.88586
1785.034199,-567.2665474,1393.895765
1783.040339,-566.2506285,1393.905473
1781.046479,-565.2347046,1393.91499
1779.05238,-564.2186546,1393.924339
1777.058717,-563.2028236,1393.93354
1775.064908,-562.1869169,1393.942618
1773.07105,-561.1709854,1393.951591
1771.077192,-560.1550546,1393.960475
1769.083333,-559.1391255,1393.969284
1767.089475,-558.1232004,1393.97803
1765.095617,-557.1072807,1393.986726
1763.101934,-556.0914572,1393.995381
1761.107872,-555.0754494,1394.004011
1759.113998,-554.0595485,1394.012625
1757.120248,-553.0437245,1394.021236
1755.126235,-552.027781,1394.029858
1753.132341,-551.0119114,1394.038491
