t,F,F
1.17578125,1.5259202,1.5259202
1.177734375,1.5259202,1.5259202
1.1796875,1.5259202,1.5259202
1.181640625,1.5259202,1.5259202
1.18359375,1.5259202,1.5259202
1.185546875,1.5259202,1.5259202
1.1875,1.5259202,1.5259202
1.189453125,1.5259202,1.5259202
1.19140625,1.5259202,1.5259202
1.193359375,1.5259202,1.5259202
1.1953125,1.5259202,1.5259202
1.197265625,1.5259202,1.5259202
1.19921875,1.5259202,1.5259202
1.201171875,1.5259202,1.5259202
1.203125,1.5259202,1.5259202
1.205078125,1.5259202,1.5259202
1.20703125,1.5259202,1.5259202
1.208984375,1.5259202,1.5259202
1.2109375,1.5259202,1.5259202
1.212890625,1.5259202,1.5259202
1.21484375,1.5259202,1.5259202
1.216796875,1.5259202,1.5259202
1.21875,1.5259202,1.5259202
1.220703125,1.5259202,1.5259202
1.22265625,1.5259202,1.5259202
1.224609375,-9.89E-06,1.5259202
1.2265625,-9.89E-06,1.5259202
1.228515625,-9.89E-06,1.5259202
1.23046875,-9.89E-06,1.5259202
1.232421875,-9.89E-06,1.5259202
1.234375,-9.89E-06,1.5259202
1.236328125,-9.89E-06,1.5259202
1.23828125,-9.89E-06,1.5259202
1.240234375,-9.89E-06,-9.89437E-06
1.2421875,-9.89E-06,-9.89437E-06
1.244140625,-9.89E-06,-9.89437E-06
1.24609375,-9.89E-06,-9.89437E-06
1.248046875,-9.89E-06,-9.89437E-06
1.25,-9.89E-06,-9.89437E-06
1.251953125,1.5259202,-9.89437E-06
1.25390625,1.5259202,-9.89437E-06
1.255859375,1.5259202,-9.89437E-06
1.2578125,1.5259202,-9.89437E-06
1.259765625,1.5259202,-9.89437E-06
1.26171875,1.5259202,-9.89437E-06
1.263671875,1.5259202,-9.89437E-06
1.265625,1.5259202,-9.89437E-06
1.267578125,1.5259202,-9.89437E-06
1.26953125,-9.89E-06,-9.89437E-06
1.271484375,-1.5259399,-9.89437E-06
1.2734375,-1.5259399,-9.89437E-06
1.275390625,-1.5259399,-9.89437E-06
1.27734375,-1.5259399,-9.89437E-06
1.279296875,-1.5259399,-9.89437E-06
1.28125,-1.5259399,-9.89437E-06
1.283203125,-1.5259399,-9.89437E-06
1.28515625,-1.5259399,-9.89437E-06
1.287109375,-1.5259399,-9.89437E-06
1.2890625,-1.5259399,-9.89437E-06
1.291015625,-1.5259399,-9.89437E-06
1.29296875,-1.5259399,-9.89437E-06
1.294921875,-1.5259399,-9.89437E-06
1.296875,-1.5259399,-9.89437E-06
1.298828125,-1.5259399,-9.89437E-06
1.30078125,-1.5259399,-9.89437E-06
1.302734375,-9.89E-06,-9.89437E-06
1.3046875,-9.89E-06,-9.89437E-06
1.306640625,1.5259202,-9.89437E-06
1.30859375,1.5259202,-9.89437E-06
1.310546875,1.5259202,-9.89437E-06
1.3125,1.5259202,-9.89437E-06
1.314453125,1.5259202,-9.89437E-06
1.31640625,1.5259202,-9.89437E-06
1.318359375,1.5259202,-9.89437E-06
1.3203125,1.5259202,-9.89437E-06
1.322265625,1.5259202,-9.89437E-06
1.32421875,1.5259202,-9.89437E-06
1.326171875,1.5259202,-9.89437E-06
1.328125,1.5259202,-9.89437E-06
1.330078125,-9.89E-06,-9.89437E-06
1.33203125,-9.89E-06,-9.89437E-06
1.333984375,-9.89E-06,-9.89437E-06
1.3359375,-9.89E-06,-9.89437E-06
1.337890625,-9.89E-06,-9.89437E-06
1.33984375,-9.89E-06,-9.89437E-06
1.341796875,-9.89E-06,-9.89437E-06
1.34375,-9.89E-06,-9.89437E-06
1.345703125,-9.89E-06,-9.89437E-06
1.34765625,-9.89E-06,-9.89437E-06
1.349609375,-9.89E-06,-9.89437E-06
1.3515625,1.5259202,-9.89437E-06
1.353515625,1.5259202,-9.89437E-06
1.35546875,1.5259202,-9.89437E-06
1.357421875,1.5259202,-9.89437E-06
1.359375,1.5259202,-9.89437E-06
1.361328125,1.5259202,-9.89437E-06
1.36328125,1.5259202,-9.89437E-06
1.365234375,1.5259202,-9.89437E-06
1.3671875,1.5259202,-9.89437E-06
1.369140625,1.5259202,-9.89437E-06
1.37109375,1.5259202,-9.89437E-06
1.373046875,1.5259202,-9.89437E-06
1.375,1.5259202,-9.89437E-06
1.376953125,1.5259202,-9.89437E-06
1.37890625,1.5259202,-9.89437E-06
1.380859375,1.5259202,-1.5259399
1.3828125,1.5259202,-1.5259399
1.384765625,1.5259202,-1.5259399
1.38671875,1.5259202,-1.5259399
1.388671875,1.5259202,-1.5259399
1.390625,1.5259202,-1.5259399
1.392578125,1.5259202,-1.5259399
1.39453125,1.5259202,-1.5259399
1.396484375,1.5259202,-1.5259399
1.3984375,1.5259202,-1.5259399
1.400390625,1.5259202,-1.5259399
1.40234375,1.5259202,-1.5259399
1.404296875,1.5259202,-1.5259399
1.40625,1.5259202,-1.5259399
1.408203125,1.5259202,-1.5259399
1.41015625,1.5259202,-1.5259399
1.412109375,1.5259202,-1.5259399
1.4140625,1.5259202,-9.89437E-06
1.416015625,1.5259202,-9.89437E-06
1.41796875,1.5259202,-9.89437E-06
1.419921875,1.5259202,-9.89437E-06
1.421875,1.5259202,-9.89437E-06
1.423828125,1.5259202,-9.89437E-06
1.42578125,1.5259202,-9.89437E-06
1.427734375,1.5259202,-9.89437E-06
1.4296875,1.5259202,-1.5259399
1.431640625,1.5259202,-1.5259399
1.43359375,1.5259202,-1.5259399
1.435546875,1.5259202,-1.5259399
1.4375,1.5259202,-1.5259399
1.439453125,1.5259202,-1.5259399
1.44140625,1.5259202,-1.5259399
1.443359375,1.5259202,-1.5259399
1.4453125,1.5259202,-1.5259399
1.447265625,1.5259202,-1.5259399
1.44921875,1.5259202,-1.5259399
1.451171875,1.5259202,-1.5259399
1.453125,1.5259202,-1.5259399
1.455078125,1.5259202,-1.5259399
1.45703125,1.5259202,-1.5259399
1.458984375,1.5259202,-1.5259399
1.4609375,1.5259202,-1.5259399
1.462890625,1.5259202,-1.5259399
1.46484375,1.5259202,-1.5259399
1.466796875,1.5259202,-1.5259399
1.46875,1.5259202,-1.5259399
1.470703125,1.5259202,-1.5259399
1.47265625,1.5259202,-9.89437E-06
1.474609375,1.5259202,-9.89437E-06
1.4765625,1.5259202,-9.89437E-06
1.478515625,1.5259202,-9.89437E-06
1.48046875,1.5259202,-9.89437E-06
1.482421875,1.5259202,-9.89437E-06
1.484375,1.5259202,-9.89437E-06
1.486328125,1.5259202,-9.89437E-06
1.48828125,1.5259202,-9.89437E-06
1.490234375,1.5259202,-9.89437E-06
1.4921875,1.5259202,-9.89437E-06
1.494140625,1.5259202,-9.89437E-06
1.49609375,1.5259202,-9.89437E-06
1.498046875,1.5259202,-9.89437E-06
1.5,1.5259202,-9.89437E-06
1.501953125,1.5259202,-9.89437E-06
1.50390625,1.5259202,-9.89437E-06
1.505859375,1.5259202,-9.89437E-06
1.5078125,1.5259202,-9.89437E-06
1.509765625,1.5259202,-9.89437E-06
1.51171875,1.5259202,-9.89437E-06
