t,y,v
1.273606725181474886e+00,1.619726583339753112e-01,4.113701479891956891e-03
1.283606725181474895e+00,1.615232953487742429e-01,-9.398629852010813301e-02
1.293606725181474904e+00,1.600929323635731649e-01,-1.920862985201082229e-01
1.303606725181474912e+00,1.576815693783720773e-01,-2.901862985201082989e-01
1.313606725181474921e+00,1.542892063931709801e-01,-3.882862985201083750e-01
1.323606725181474930e+00,1.499158434079699009e-01,-4.863862985201084510e-01
1.333606725181474939e+00,1.445614804227688122e-01,-5.844862985201085825e-01
1.343606725181474948e+00,1.382261174375677137e-01,-6.825862985201086586e-01
1.353606725181474957e+00,1.309097544523666334e-01,-7.806862985201087346e-01
1.363606725181474966e+00,1.226123914671655435e-01,-8.787862985201088106e-01
1.373606725181474975e+00,1.133340284819644439e-01,-9.768862985201088867e-01
1.383606725181474983e+00,1.030746654967633485e-01,-1.074986298520109074e+00
1.393606725181474992e+00,9.183430251156224355e-02,-1.173086298520109150e+00
1.403606725181475001e+00,7.961293952636114279e-02,-1.271186298520109226e+00
1.413606725181475010e+00,6.641057654116003239e-02,-1.369286298520109302e+00
1.423606725181475019e+00,5.222721355595892623e-02,-1.467386298520109378e+00
1.433606725181475028e+00,3.706285057075781736e-02,-1.565486298520109454e+00
1.443606725181475037e+00,2.091748758555670579e-02,-1.663586298520109530e+00
1.453606725181475046e+00,3.791124600355594981e-03,-1.761686298520109606e+00
1.455606725181475047e+00,2.481320033153725825e-04,-1.781306298520109577e+00
1.455669535055948316e+00,1.362290276878565373e-04,-1.781922463388692313e+00
1.455732344930421585e+00,2.428735082229000744e-05,-1.782538628257275048e+00
1.455742103457668302e+00,6.891931952586661690e-06,-1.782634359409565272e+00
1.455751861984915019e+00,-1.050394039535163093e-05,-1.782490222661267998e+00
1.455761511001912423e+00,-2.770118606693408174e-05,-1.782068879528651895e+00
1.455858001171886462e+00,-1.994499078554599783e-04,-1.777850445714876271e+00
1.456351697354107966e+00,-1.071748882516006859e-03,-1.755684319634517765e+00
1.457357300088369056e+00,-2.812359461450657152e-03,-1.704478446580118600e+00
1.458914011786872633e+00,-5.389446059354788439e-03,-1.600848396856105582e+00
1.460797820225970822e+00,-8.249582564988863082e-03,-1.426211882014718935e+00
1.462737908088794336e+00,-1.079410213054490461e-02,-1.187145041228266251e+00
1.464643679527370956e+00,-1.279042328049430181e-02,-9.002721252886702885e-01
1.466473897835702367e+00,-1.415764014828916825e-02,-5.893512719842968206e-01
1.468194330887741650e+00,-1.490733491590210194e-02,-2.809316206596356724e-01
1.469569144494892621e+00,-1.512345905873615712e-02,-3.425986514332424182e-02
1.470943958102043592e+00,-1.500558002131947323e-02,2.036085643378227616e-01
1.472256309653152684e+00,-1.459743482718797031e-02,4.153755241383461638e-01
1.473806858345302784e+00,-1.377621378904897963e-02,6.383617608921200448e-01
1.475537963819888887e+00,-1.248596150048286897e-02,8.441150688420837600e-01
1.477418026031454890e+00,-1.073392233127137482e-02,1.009254066564202024e+00
1.479404932535348660e+00,-8.611313432431197401e-03,1.115900388571473778e+00
1.481458844133274555e+00,-6.265277213315849011e-03,1.157732825183804826e+00
1.483569162944790909e+00,-3.831189616703194623e-03,1.140182560966625847e+00
1.485754201325369284e+00,-1.403619720236054871e-03,1.075776948382129783e+00
1.486443625285168046e+00,-6.709485658598771714e-04,1.049367817653081403e+00
1.486650697437573054e+00,-4.545057172497702237e-04,1.041120748728221912e+00
1.486857769589978062e+00,-2.397806080216440580e-04,1.032783073873619895e+00
1.487062515271146301e+00,-2.917126676626747824e-05,1.024490634217726237e+00
1.487079205450752895e+00,-1.207797864294908480e-05,1.023814264608758906e+00
1.487094029938080819e+00,3.095727736395558974e-06,1.023422841965528240e+00
1.487107513243076218e+00,1.689395832726022173e-05,1.023290570743523364e+00
1.487242346293030204e+00,1.547781743083445334e-04,1.021967858523474826e+00
1.488590676792570067e+00,1.523811341362957131e-03,1.008740736322988774e+00
1.498590676792570076e+00,1.112071870459285274e-02,9.106407363229886975e-01
1.508590676792570084e+00,1.973662606782274759e-02,8.125407363229886215e-01
1.518590676792570093e+00,2.737153343105264147e-02,7.144407363229885455e-01
1.528590676792570102e+00,3.402544079428253265e-02,6.163407363229884695e-01
1.538590676792570111e+00,3.969834815751242113e-02,5.182407363229883934e-01
1.548590676792570120e+00,4.439025552074230691e-02,4.201407363229883174e-01
1.558590676792570129e+00,4.810116288397218998e-02,3.220407363229882414e-01
1.568590676792570138e+00,5.083107024720207728e-02,2.239407363229881653e-01
1.578590676792570147e+00,5.257997761043196189e-02,1.258407363229880893e-01
1.588590676792570155e+00,5.334788497366184379e-02,2.774073632298799941e-02
1.598590676792570164e+00,5.313479233689172299e-02,-7.035926367701209050e-02
1.608590676792570173e+00,5.194069970012159948e-02,-1.684592636770121943e-01
1.618590676792570182e+00,4.976560706335147327e-02,-2.665592636770122703e-01
1.628590676792570191e+00,4.660951442658134436e-02,-3.646592636770123463e-01
1.638590676792570200e+00,4.247242178981121968e-02,-4.627592636770124224e-01
1.648590676792570209e+00,3.735432915304109230e-02,-5.608592636770125539e-01
1.658590676792570218e+00,3.125523651627096222e-02,-6.589592636770126299e-01
1.668590676792570227e+00,2.417514387950082944e-02,-7.570592636770127060e-01
1.678590676792570235e+00,1.611405124273069395e-02,-8.551592636770127820e-01
1.688590676792570244e+00,7.071958605960555755e-03,-9.532592636770128580e-01
1.691229744262772616e+00,4.522081351285751200e-03,-9.791485155596981738e-01
1.693868811732974988e+00,1.903880614139475541e-03,-1.005037767442383378e+00
1.694348947901536118e+00,1.420194877938989794e-03,-1.009747903255967971e+00
1.694829084070097247e+00,9.342476351755666861e-04,-1.014458039069552564e+00
1.695283727976899746e+00,4.720166001986095781e-04,-1.018918095795285028e+00
1.695738371883702245e+00,7.757827607304628153e-06,-1.023378152521017492e+00
1.695775649348562286e+00,-3.038049030015935642e-05,-1.022703812039618798e+00
1.695809373280246835e+00,-6.485820377661168177e-05,-1.021999185901421914e+00
1.696146612597092318e+00,-4.083201862513158504e-04,-1.014872492174412777e+00
1.697087457143644951e+00,-1.353222085104382588e-03,-9.931992471787239873e-01
1.698668353685859334e+00,-2.888671066996499268e-03,-9.468818768858815460e-01
1.700737982818775862e+00,-4.765047229132999586e-03,-8.612454605432211530e-01
1.702925674619166108e+00,-6.519164006799087370e-03,-7.365270051831611653e-01
1.705079820302165539e+00,-7.944029533515495692e-03,-5.815135986561840165e-01
1.707156059693763828e+00,-8.975003944632837724e-03,-4.084721148512794331e-01
1.709121908750965479e+00,-9.605725271131225831e-03,-2.319515537992593024e-01
1.710949073890296379e+00,-9.877078708885980371e-03,-6.536895094723244037e-02
1.712306686025733216e+00,-9.883499975834444951e-03,5.511236967627207439e-02
1.713613868502970927e+00,-9.738720890591755913e-03,1.652116015195801424e-01
1.715220528513457188e+00,-9.371950455061105537e-03,2.889143110448504359e-01
1.717058522715047220e+00,-8.725819452120682149e-03,4.102237708806246719e-01
1.719091225142022950e+00,-7.780076986691415557e-03,5.148656712533903335e-01
1.721281870617927812e+00,-6.562372689741790936e-03,5.903819381774144670e-01
1.723581243595672330e+00,-5.152814594183544733e-03,6.290035117302867906e-01
1.725958770111960305e+00,-3.648817795683346847e-03,6.302296190786587093e-01
1.728428177421244216e+00,-2.125556953888662302e-03,5.988216619681669961e-01
1.731042866581522954e+00,-6.303764487578049878e-04,5.420097235841822014e-01
1.731861848274144133e+00,-1.947924840547462112e-04,5.216150704582904751e-01
1.732191729502823740e+00,-2.409307167052448335e-05,5.132985576692248308e-01
1.732216513239839273e+00,-1.137935264296479403e-05,5.126742057275172071e-01
1.732230931983898881e+00,-3.989852352631512684e-06,5.123111044483535936e-01
1.732245350727958488e+00,3.394714790690236508e-06,5.120499281276571502e-01
1.732258540894582755e+00,1.014788528830676639e-05,5.119205325930731298e-01
1.732390442560825417e+00,7.758571908808409138e-05,5.106265772472325937e-01
1.733709459223252036e+00,7.425769394470593159e-04,4.976870237888274540e-01
1.743709459223252045e+00,5.228947177335337669e-03,3.995870237888273779e-01
1.753709459223252054e+00,8.734317415223614295e-03,3.014870237888273019e-01
1.763709459223252063e+00,1.125868765311188908e-02,2.033870237888272259e-01
1.773709459223252072e+00,1.280205789100016291e-02,1.052870237888271360e-01
1.783709459223252081e+00,1.336442812888843402e-02,7.187023788827046067e-03
1.793709459223252090e+00,1.294579836677670417e-02,-9.091297621117304384e-02
1.803709459223252098e+00,1.154616860466497162e-02,-1.890129762111731337e-01
1.813709459223252107e+00,9.165538842553238100e-03,-2.871129762111732098e-01
