t,x1,y1,z1,x2,y2,z2,x3,y3,z3
0.7050000000000005,2748.0478171700693,-1005.3110621850686,634.4465895957759,3367.3800442073157,-861.5256472300053,999.2424528740152,2244.593782330679,-831.8718368207735,-16.584827860636942
0.7100000000000005,2746.364519928843,-1005.3403135611215,634.4478393652856,3365.7078834228732,-861.5940120270171,999.242838448432,2242.9206492003277,-831.8719530331276,-16.58469036988991
0.7150000000000005,2744.681221900516,-1005.3694951479721,634.4490862382947,3364.035698614436,-861.662217959763,999.2432231256419,2241.2474929920927,-831.872068976862,-16.58455319778214
0.7200000000000005,2742.9979230898957,-1005.3986069875428,634.4503302150019,3362.363489883758,-861.7302651400846,999.2436069056868,2239.5743137104346,-831.8721846519952,-16.584416344285756
0.7250000000000005,2741.3146235020436,-1005.4276492154751,634.451571282408,3360.6912571934813,-861.7981537969257,999.2439897845666,2237.9011113755982,-831.8723000573151,-16.584279810831415
0.7300000000000005,2739.631323141484,-1005.456621970259,634.4528094432894,3359.01900053868,-861.8658842055754,999.244371763149,2236.2278860239185,-831.8724151930753,-16.584143597112984
0.7350000000000005,2737.948022010138,-1005.4855253151434,634.4540446997311,3357.3467200226587,-861.9334565280118,999.2447528420602,2234.554637665522,-831.8725300594701,-16.584007702895242
0.7400000000000005,2736.2647201143086,-1005.5143593766404,634.4552770470567,3355.674415609789,-862.0008709882995,999.2451330198714,2232.881366327565,-831.8726446560605,-16.583872128693155
0.7450000000000006,2734.581417458935,-1005.5431242628008,634.456506482597,3354.0020873639623,-862.0681278171976,999.2455122957516,2231.2080720322547,-831.8727589825965,-16.583736874796802
0.7500000000000006,2732.898114047817,-1005.5718200686193,634.4577330023012,3352.329735320465,-862.1352272042184,999.2458906684482,2229.534754795353,-831.8728730386998,-16.583601941649142
0.7550000000000006,2731.2148098841885,-1005.6004468753066,634.4589566027689,3350.657359530345,-862.2021693178168,999.2462681369049,2227.861414628541,-831.8729868240532,-16.58346732962077
0.7600000000000006,2729.531504973301,-1005.6290048490846,634.4601772841218,3348.9849599864183,-862.2689544863398,999.2466447011724,2226.1880515750654,-831.8731003386644,-16.58333303869839
0.7650000000000006,2727.8481993222254,-1005.6574941251296,634.4613950332764,3347.3125366257764,-862.3355829264626,999.2470203572328,2224.514665657437,-831.8732135813107,-16.583199070323374
0.7700000000000006,2726.164892933973,-1005.6859147298649,634.4626098498906,3345.640089580427,-862.4020547304863,999.2473951049537,2222.8412568735716,-831.8733265519622,-16.583065424525973
0.7750000000000006,2724.4815858123393,-1005.7142668675508,634.463821738618,3343.96761876465,-862.468370282414,999.2477689458073,2221.167825281594,-831.8734392510446,-16.58293210079799
0.7800000000000006,2722.798277961278,-1005.7425506335504,634.4650306765243,3342.295124254958,-862.5345297582612,999.2481418726969,2219.4943708790793,-831.8735516764259,-16.58279910165864
0.7850000000000006,2721.114969384976,-1005.7707660917944,634.4662366576043,3340.6226060914787,-862.6005332810433,999.2485138837645,2217.820893671122,-831.8736638275464,-16.582666427765457
0.7900000000000006,2719.431660091019,-1005.7989134020521,634.4674396875413,3338.9500642246066,-862.666381156426,999.2488849807908,2216.1473937072356,-831.8737757049283,-16.582534078495236
0.7950000000000006,2717.7483500816147,-1005.826992671171,634.4686397562974,3337.2774987872863,-862.7320736308991,999.2492551606521,2214.473870999758,-831.8738873076402,-16.582402054946126
0.8000000000000006,2716.0650393620485,-1005.8550040677048,634.4698368367751,3335.6049096089228,-862.7976109237745,999.2496244150287,2212.800325566102,-831.873998633154,-16.582270360106595
0.8050000000000006,2714.381727937236,-1005.8829476992726,634.4710309323823,3333.9322967154694,-862.8629932599034,999.2499927449779,2211.126757435065,-831.8741096817837,-16.58213899360001
0.8100000000000006,2712.6984158099785,-1005.9108236354333,634.4722220484222,3332.2596602795747,-862.9282208496185,999.2503601521056,2209.4531666235976,-831.8742204540245,-16.582007954834594
0.8150000000000006,2711.015102985315,-1005.938632000931,634.473410175234,3330.587000314007,-862.9932939264185,999.2507266334347,2207.7795531529605,-831.8743309489774,-16.581877244872356
0.8200000000000006,2709.3317894701736,-1005.9663729599704,634.4745952914109,3328.914316718668,-863.0582127390564,999.2510921823889,2206.1059170467806,-831.8744411646413,-16.581746866073082
0.8250000000000006,2707.6484752691745,-1005.9940466291362,634.4757774207148,3327.241609447631,-863.1229775357366,999.2514568063337,2204.4322583567982,-831.8745511032208,-16.58161681582394
0.8300000000000006,2705.965160385917,-1006.0216531067939,634.4769565641999,3325.5688785580037,-863.1875885317257,999.2518205055917,2202.758577105574,-831.8746607648302,-16.58148709400599
0.8350000000000006,2704.281844823462,-1006.0491924889507,634.4781327197634,3323.8961241364887,-863.2520459448365,999.2521832795027,2201.084873311411,-831.8747701492066,-16.581357700846283
0.8400000000000006,2702.598528584867,-1006.0766648593026,634.4793059597177,3322.22334614356,-863.3163500391903,999.2525451504312,2199.4111470628045,-831.8748792631441,-16.5812286283896
0.8450000000000006,2700.9152116732753,-1006.1040702984184,634.4804763724511,3320.550544573702,-863.3805011136025,999.2529061457018,2197.7373984633127,-831.8749881150353,-16.581099866910588
0.8500000000000006,2699.231894088228,-1006.1314087756194,634.4816440690606,3318.8777196275682,-863.4444993604467,999.2532662995977,2196.063627602805,-831.8750967141684,-16.58097140417456
0.8550000000000006,2697.548575830223,-1006.1586803691002,634.4828091656049,3317.204871176776,-863.5083450678517,999.2536256480089,2194.3898346072137,-831.8752050731473,-16.580843227414196
0.8600000000000007,2695.865256901834,-1006.1858851745302,634.4839717205103,3315.5319992325763,-863.5720385222772,999.2539842090281,2192.7160195533143,-831.8753131985931,-16.580715330205855
0.8650000000000007,2694.181937299627,-1006.2130231362455,634.4851318174309,3313.8591040340402,-863.6355798516308,999.2543420084328,2191.0421825090534,-831.8754210833977,-16.580587703328014
0.8700000000000007,2692.498617029902,-1006.2400944145227,634.486289547598,3312.186185421817,-863.6989694193402,999.2546990744689,2189.3683235680587,-831.875528771522,-16.58046033675358
0.8750000000000007,2690.8152960951597,-1006.2670991087256,634.4874449660715,3310.5132433862696,-863.7622075181492,999.2550554241669,2187.6944428170427,-831.8756362587679,-16.580333224423867
0.8800000000000007,2689.1319744998987,-1006.294037155217,634.488598101257,3308.840278048584,-863.8252943296839,999.2554110662915,2186.020540480986,-831.8757433535127,-16.580206363188747
0.8850000000000007,2687.4486522592574,-1006.3209089887515,634.4897490913892,3307.167289301583,-863.8882301863748,999.2557660435773,2184.346616118926,-831.8758506904014,-16.58007973790271
