t,x1,y1,z1,x2,y2,z2,x3,y3,z3,xd3,PosConstrNorm,VelConstrNorm,AccConstrNorm
2.700000000000001,1.7704418956164025e-18,0.1,0.12000000000000079,0.14433433920575006,0.03328401134820436,0.02366036451343842,0.2886686784115011,-1.6328664081402495e-16,1.121013873303426e-15,-0.012856389237061495,5.412876601268219e-7,1.4436011151967749e-7,1.4309726880856532e-14
2.800000000000001,1.896133274533497e-18,0.1,0.12000000000000083,0.14355364323812828,0.037532934581756015,0.02199253473058873,0.2871072864762576,-1.3785615919090648e-16,1.2513598404291389e-15,-0.01835744484863848,5.518957973447866e-7,1.4446783848417845e-7,3.2640937064848016e-14
2.9000000000000012,2.0218246534505913e-18,0.1,0.12000000000000087,0.14250061328312752,0.041955413933072686,0.020817330677383467,0.2850012265662561,-1.1230979308001948e-16,1.3853895261077734e-15,-0.023737382902793702,5.626612808761588e-7,1.4459344519067448e-7,1.369719173675118e-14
3.0000000000000013,2.1475160323676858e-18,0.1,0.12000000000000091,0.1411831563350717,0.046488258600784024,0.020154467760503978,0.28236631267014445,-8.70351899436853e-17,1.4889949168353025e-15,-0.02892229696732125,5.735551730520752e-7,1.4473545825232585e-7,7.16010742865309e-15
3.1000000000000014,2.27320741128478e-18,0.1,0.120000000000001,0.13961283831943738,0.0510659695194651,0.020014198809119022,0.2792256766388758,-6.491956447131054e-17,1.6064631625463382e-15,-0.03384004386357329,5.845514972651247e-7,1.4489188025274424e-7,1.3704350717255569e-14
3.2000000000000015,2.4019466734241235e-18,0.1,0.12000000000000108,0.13780475139465104,0.05562244941066128,0.020397090557387195,0.27560950278930313,-4.4187237932424885e-17,1.728953107868276e-15,-0.038421989328869366,5.956284837709961e-7,1.450603677502955e-7,7.11892255097427e-15
3.3000000000000016,2.6160230588240474e-18,0.1,0.12000000000000119,0.1357773001570719,0.060092700090135065,0.021294167088151916,0.27155460031414486,-2.3168998305517908e-17,1.8746799705981446e-15,-0.04260449084897916,6.067693849920681e-7,1.4523841519586077e-7,1.8558901517944927e-14
3.4000000000000017,2.8453352533728233e-18,0.1,0.12000000000000131,0.1335519219099943,0.06441441816590714,0.022687397854505187,0.2671038438199897,-1.5223104069199268e-18,2.002466206364054e-15,-0.04633004285938186,6.179627717162422e-7,1.4542352472938464e-7,2.5880217343394555e-14
3.5000000000000018,3.074647447921599e-18,0.1,0.12000000000000144,0.13115275895736214,0.06852941275192308,0.024550485012996903,0.26230551791472534,2.036122507026475e-17,2.1121345257504535e-15,-0.049548047840266056,6.292023120350673e-7,1.4561333436744023e-7,2.8294295323710655e-14
3.600000000000002,3.303959642470375e-18,0.1,0.12000000000000155,0.12860630169990586,0.07238478709175054,0.026849887763664995,0.2572126033998128,4.0860956639225284e-17,2.2052781096185674e-15,-0.05221521701523532,6.404861125014282e-7,1.458056918673888e-7,2.0189577274159246e-14
3.700000000000002,3.533271837019151e-18,0.1,0.12000000000000166,0.1259410201657978,0.07593384746915643,0.029546011411880107,0.25188204033159683,5.89877109332521e-17,2.2762781762307736e-15,-0.05429564204836708,6.518157454285042e-7,1.4599867443924245e-7,3.3287722236885914e-14
3.800000000000002,3.7625840315679266e-18,0.1,0.12000000000000177,0.12318699870845191,0.07913672485466813,0.032594486094384346,0.24637399741690535,7.353820529797565e-17,2.3004962291602435e-15,-0.055760611205482466,6.631951086684144e-7,1.4619055155477087e-7,2.3758685371861983e-14
3.900000000000002,3.9918962261167024e-18,0.1,0.12000000000000188,0.12037558427952579,0.08196071512501306,0.035947463794794805,0.24075116855905335,2.569298259510044e-17,2.3257096882874383e-15,-0.05658826820262565,6.746292572998352e-7,1.463797014409621e-7,1.7707193144775314e-14
4.000000000000002,4.221208420665478e-18,0.1,0.120000000000002,0.11753905331971999,0.08438036072874809,0.03955487105173272,0.23507810663944192,1.1824306830944785e-17,2.3609709327027077e-15,-0.05676322880066946,6.861233276185199e-7,1.4656448220423297e-7,9.769230039380298e-15
4.100000000000001,4.450520615214254e-18,0.1,0.12000000000000212,0.11471029630497956,0.08637730938674172,0.04336556699845954,0.22942059260996123,-4.16445486083294e-18,2.4019040533420273e-15,-0.056276278898346625,6.976816505077747e-7,1.4674306455172092e-7,9.106418410264402e-15
4.200000000000001,4.67983280976303e-18,0.1,0.12000000000000223,0.11192251276310437,0.08793999348107545,0.04732837044532703,0.22384502552621094,-1.8748982809391482e-17,2.4443492126165736e-15,-0.05512427766265633,7.09307134046853e-7,1.4691323300023596e-7,9.722819465569407e-15
4.300000000000001,4.909145004311806e-18,0.1,0.12000000000000234,0.10920890362915603,0.08906317735658657,0.05139293422271678,0.2184178072583143,-6.60939631118794e-17,2.5007900785134927e-15,-0.05331037787074112,7.210009898112027e-7,1.4707217147723876e-7,1.2317476826947392e-14
4.4,5.134173931018663e-18,0.1,0.12000000000000247,0.1066023427945167,0.08974741928387049,0.055510458848339654,0.21320468558903574,-1.196166023330405e-16,2.5770688913045895e-15,-0.05084464876842144,7.327628671553816e-7,1.4721628014131352e-7,1.1240924316933755e-14
4.5,5.359202857725521e-18,0.1,0.12000000000000258,0.10413500655034919,0.08999849087589182,0.059634249965486476,0.20827001310070073,-1.8157849474910664e-16,2.679074983762675e-15,-0.04774513809104055,7.44591444913438e-7,1.4734110196930934e-7,1.4125988522705012e-14
4.6,5.584231784432378e-18,0.1,0.1200000000000027,0.10183793958951426,0.08982678988618496,0.06372013430425966,0.20367587917903085,-2.7352838394519744e-16,2.772421596329977e-15,-0.04403933291442223,7.564854811030098e-7,1.474414847335983e-7,6.344916824414677e-15
4.699999999999999,5.809260711139236e-18,0.1,0.12000000000000283,0.09974054082491375,0.08924677312538708,0.0677267565820904,0.19948108164982978,-3.4772740125490973e-16,2.883639813028883e-15,-0.03976587090449171,7.684452087442533e-7,1.4751212030593942e-7,1.2285903107696427e-14
4.799999999999999,6.034289637846093e-18,0.1,0.12000000000000295,0.09786996293754438,0.0882764254193909,0.07161578416073648,0.1957399258750909,-3.947521987196786e-16,3.0115412407457814e-15,-0.034976221638359124,7.804738041306407e-7,1.4754856316869802e-7,1.2724731980564842e-14
4.899999999999999,6.2593185645529506e-18,0.1,0.12000000000000309,0.09625043694209887,0.08693676913192709,0.0753520467488095,0.1925008738841997,-4.4042862707477404e-16,3.1592252124144985e-15,-0.029735926655989262,7.925784660493596e-7,1.4754866665523978e-7,1.1481777163801704e-14
4.999999999999998,6.484347491259808e-18,0.1,0.12000000000000322,0.09490255605296687,0.08525140833801358,0.07890363449740685,0.18980511210593554,-5.022617076498544e-16,3.336481889641137e-15,-0.024124902260002905,8.047705412753742e-7,1.4751410917850897e-7,1.2253262690694128e-14
5.099999999999998,6.7093764179666655e-18,0.1,0.12000000000000335,0.0938425779782946,0.08324609430480279,0.0822419696257353,0.18768515595659083,-6.02733492763203e-16,3.5367723401537226e-15,-0.01823632967498087,8.170642500677817e-7,1.474514112731451e-7,4.982177563784058e-15
